작성월	지역코드	지역명	상권코드	상권명	총건물수	1층생활시설수	2층생활시설수	문화집회시설수	종교시설수	판매시설수	의료시설수	아동노인복지시설수	수련시설수	운동시설수	숙박시설수	여가및오락시설수	총가스사용량	상업용가스사용량	총전기사용량
202301	11110	종로구	9167	경복궁역_2	141.0	30.0	64.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	465240	341876	537.688
202303	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257122	223739	382.065
202303	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230402	196553	357.132
202306	11110	종로구	9167	경복궁역_2	142.0	30.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	254384	183293	474.868
202307	11110	종로구	9167	경복궁역_2	142.0	31.0	65.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	256517	137899	552.002
202308	11110	종로구	9167	경복궁역_2	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	20.368
202309	11110	종로구	9167	경복궁역_2	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	17.695
202312	11110	종로구	9167	경복궁역_2	144.0	31.0	66.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	428127	292857	485.123
202401	11110	종로구	9167	경복궁역_2	145.0	32.0	66.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	552640	376520	576.652
202402	11110	종로구	9167	경복궁역_2	145.0	32.0	67.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	506758	377779	521.384
202403	11110	종로구	9167	경복궁역_2	145.0	31.0	67.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	413458	308549	438.691
202404	11110	종로구	9167	경복궁역_2	145.0	31.0	67.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305739	270107	384.53
202405	11110	종로구	9167	경복궁역_2	144.0	31.0	67.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242700	210013	374.214
202406	11110	종로구	9167	경복궁역_2	145.0	31.0	68.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243010	176416	464.039
202408	11110	종로구	9167	경복궁역_2	145.0	31.0	68.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288695	151991	670.198
202410	11110	종로구	9167	경복궁역_2	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	11.613
202207	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2235939	14931	2911.214
202210	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	619051	18720	1928.545
202210	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	619051	18720	1928.545
202211	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	633959	19980	1829.682
202212	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2333046	27014	2229.811
202301	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2834274	24224	2258.109
202301	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2429795	26823	2046.314
202303	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1222792	22664	1975.015
202307	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2202660	13844	2997.595
202309	11110	종로구	9168	광화문역_1	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117760	2014	1157.852
202310	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	657701	17738	1974.563
202311	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1091063	17558	2019.205
202312	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2326155	20754	2106.349
202401	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2765721	24923	2237.151
202402	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2251130	29415	1938.866
202403	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1745791	31711	1923.175
202406	11110	종로구	9168	광화문역_1	23.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1830413	22732	2515.181
